,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Renewable
0,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,NSW,567719.0,157700.0,Wind,2014-2015,True
1,ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,ACT,213115.0,59199.0,Solar,2014-2015,True
2,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,VIC,2461803.0,683834.0,Wind,2014-2015,True
3,AGL ENERGY LIMITED,Banimboola Hydro,VIC,137094.0,38082.0,Hydro,2014-2015,True
4,AGL ENERGY LIMITED,Bayswater Power Station,NSW,50275548.0,13965430.0,Black Coal,2014-2015,False
5,AGL ENERGY LIMITED,Bogong Power Station,VIC,266917.0,74144.0,Hydro,2014-2015,True
6,AGL ENERGY LIMITED,Burrendong Hydro,NSW,27428.0,7619.0,Hydro,2014-2015,True
7,AGL ENERGY LIMITED,Clover Hydro,VIC,151368.0,42047.0,Hydro,2014-2015,True
8,AGL ENERGY LIMITED,Coopers Cogeneration,SA,91666.0,25463.0,Gas,2014-2015,False
9,AGL ENERGY LIMITED,Copeton Hydro,NSW,139785.0,38829.0,Hydro,2014-2015,True
10,AGL ENERGY LIMITED,Dartmouth Hydro,VIC,1608089.0,446691.0,Hydro,2014-2015,True
11,AGL ENERGY LIMITED,Eildon Hydro,VIC,710341.0,197317.0,Hydro,2014-2015,True
12,AGL ENERGY LIMITED,Glenbawn Hydro,NSW,42254.0,11737.0,Hydro,2014-2015,True
13,AGL ENERGY LIMITED,Glenorchy Landfill Generation,TAS,43117.0,11977.0,Landfill Gas,2014-2015,True
14,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,SA,1136668.0,315741.0,Wind,2014-2015,True
15,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,SA,858516.0,238477.0,Wind,2014-2015,True
16,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,SA,1543714.0,428809.0,Wind,2014-2015,True
17,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,SA,489049.0,135847.0,Wind,2014-2015,True
18,AGL ENERGY LIMITED,Hobart Landfill Generation,TAS,27374.0,7604.0,Landfill Gas,2014-2015,True
19,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,NSW,901.0,250.0,Gas,2014-2015,False
20,AGL ENERGY LIMITED,Kincumber Landfill Generation,NSW,14613.0,4059.0,Landfill Gas,2014-2015,True
21,AGL ENERGY LIMITED,Liddell Power Station,NSW,24864251.0,6906736.0,Black Coal,2014-2015,False
22,AGL ENERGY LIMITED,Loy Yang Power Station and Mine,VIC,58415084.0,16226412.0,Brown Coal,2014-2015,False
23,AGL ENERGY LIMITED,Macarthur Wind Farm,VIC,3589748.0,997152.0,Wind,2014-2015,True
24,AGL ENERGY LIMITED,McKay Creek Hydro,VIC,317552.0,88209.0,Hydro,2014-2015,True
25,AGL ENERGY LIMITED,Moranbah Power Station,QLD,82912.0,23031.0,Coal Seam Methane,2014-2015,False
26,AGL ENERGY LIMITED,Nyngan Solar Plant,NSW,33769.0,9380.0,Solar,2014-2015,True
27,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,VIC,526539.0,146261.0,Wind,2014-2015,True
28,AGL ENERGY LIMITED,Rockingham Landfill Generation,WA,77364.0,21490.0,Landfill Gas,2014-2015,True
29,AGL ENERGY LIMITED,Rubicon Hydro Scheme,VIC,167206.0,46446.0,Hydro,2014-2015,True
30,AGL ENERGY LIMITED,Shoalhaven Landfill Generation,NSW,19739.0,5483.0,Landfill Gas,2014-2015,True
31,AGL ENERGY LIMITED,Somerton Power Station,VIC,37669.0,10464.0,Gas,2014-2015,False
32,AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,QLD,3091.0,859.0,Macadamia Nut Shells,2014-2015,True
33,AGL ENERGY LIMITED,Torrens Island Power Station,SA,6057169.0,1682547.0,Gas/Diesel,2014-2015,False
34,AGL ENERGY LIMITED,Wattle Point Wind Farm,SA,937578.0,260438.0,Wind,2014-2015,True
35,AGL ENERGY LIMITED,Werribee Biogas Generator,VIC,196824.0,54673.0,Biogas,2014-2015,True
36,AGL ENERGY LIMITED,West Kiewa Hydro,VIC,422961.0,117489.0,Hydro,2014-2015,True
37,AGL ENERGY LIMITED,Wilpena Pound Solar Generation,SA,3172.0,881.0,Solar,2014-2015,True
38,AGL ENERGY LIMITED,Woy Woy Landfill Generation,NSW,31209.0,8669.0,Landfill Gas,2014-2015,True
39,AGL ENERGY LIMITED,Yarrawonga Hydro,VIC,180662.0,50184.0,Hydro,2014-2015,True
40,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,WA,5900732.0,1639092.0,Gas,2014-2015,False
41,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,WA,637048.0,176958.0,Gas/Diesel,2014-2015,False
42,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,VIC,4536940.0,1260261.0,Brown Coal,2014-2015,False
