,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
1,ACCIONA ENERGY OCEANIA PTY. LTD.,Gunning Wind Farm,NSW,601740,167150,Wind,2017-2018,-34.6905625,149.4270092,True
2,ACCIONA ENERGY OCEANIA PTY. LTD.,Mt Gellibrand Wind Farm,VIC,4320,1200,Wind,2017-2018,-38.2327778,143.7922222,True
3,ACCIONA ENERGY OCEANIA PTY. LTD.,Waubra Wind Farm,VIC,2317673,643798,Wind,2017-2018,-37.3946388,143.6386011,True
5,AGL ENERGY LIMITED,Banimboola Hydro,VIC,11089,3080,Hydro,2017-2018,-36.5335771,147.4603458,True
6,AGL ENERGY LIMITED,Bayswater Power Station,NSW,55964880,15545800,Black Coal,2017-2018,-32.3925781,150.9490509,False
7,AGL ENERGY LIMITED,Bogong Power Station,VIC,290885,80801,Hydro,2017-2018,-36.8057885,147.2281158,True
8,AGL ENERGY LIMITED,Broken Hill Solar Plant,NSW,470545,130707,Solar,2017-2018,-31.985972,141.3929982,True
9,AGL ENERGY LIMITED,Burrendong Hydro,NSW,130417,36227,Hydro,2017-2018,-32.6801776,149.1386215,True
12,AGL ENERGY LIMITED,Copeton Hydro,NSW,148524,41257,Hydro,2017-2018,-29.8466241,150.8866281,True
13,AGL ENERGY LIMITED,Dartmouth Hydro,VIC,201611,56003,Hydro,2017-2018,-36.5324694,147.4961766,True
14,AGL ENERGY LIMITED,Eildon Hydro,VIC,668859,185794,Hydro,2017-2018,-37.2345677,145.9089916,True
15,AGL ENERGY LIMITED,Glenbawn Hydro,NSW,70572,19603,Hydro,2017-2018,-32.1080329,150.985732,True
16,AGL ENERGY LIMITED,Glenorchy Landfill Generation,TAS,32986,9163,Landfill Gas,2017-2018,-42.833056,147.275833,True
21,AGL ENERGY LIMITED,Hobart Landfill Generation,TAS,22430,6231,Landfill Gas,2017-2018,-42.8826055,147.3257196,True
22,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,NSW,3073,854,Gas,2017-2018,-32.1932173,151.700565,False
23,AGL ENERGY LIMITED,Kemps Creek Landfill Generation,NSW,47007,13058,Landfill Gas,2017-2018,-33.8805637,150.7927925,True
24,AGL ENERGY LIMITED,Kincumber Landfill Generation,NSW,7588,2108,Landfill Gas,2017-2018,-33.4689844,151.3898882,True
