,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
0,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,NSW,567719.0,157700.0,Wind,2014-2015,-34.6905625,149.4270092,True
1,ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,ACT,213115.0,59199.0,Solar,2014-2015,-35.4897929,149.1430018,True
2,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,VIC,2461803.0,683834.0,Wind,2014-2015,-37.3946388,143.6386011,True
4,AGL ENERGY LIMITED,Banimboola Hydro,VIC,137094.0,38082.0,Hydro,2014-2015,-36.5335771,147.4603458,True
5,AGL ENERGY LIMITED,Bayswater Power Station,NSW,50275548.0,13965430.0,Black Coal,2014-2015,-32.3925781,150.9490509,False
6,AGL ENERGY LIMITED,Bogong Power Station,VIC,266917.0,74144.0,Hydro,2014-2015,-36.8057885,147.2281158,True
7,AGL ENERGY LIMITED,Burrendong Hydro,NSW,27428.0,7619.0,Hydro,2014-2015,-32.6801776,149.1386215,True
10,AGL ENERGY LIMITED,Copeton Hydro,NSW,139785.0,38829.0,Hydro,2014-2015,-29.8466241,150.8866281,True
11,AGL ENERGY LIMITED,Dartmouth Hydro,VIC,1608089.0,446691.0,Hydro,2014-2015,-36.5324694,147.4961766,True
12,AGL ENERGY LIMITED,Eildon Hydro,VIC,710341.0,197317.0,Hydro,2014-2015,-37.2345677,145.9089916,True
13,AGL ENERGY LIMITED,Glenbawn Hydro,NSW,42254.0,11737.0,Hydro,2014-2015,-32.1080329,150.985732,True
14,AGL ENERGY LIMITED,Glenorchy Landfill Generation,TAS,43117.0,11977.0,Landfill Gas,2014-2015,-42.833056,147.275833,True
19,AGL ENERGY LIMITED,Hobart Landfill Generation,TAS,27374.0,7604.0,Landfill Gas,2014-2015,-42.8826055,147.3257196,True
20,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,NSW,901.0,250.0,Gas,2014-2015,-32.1932173,151.700565,False
21,AGL ENERGY LIMITED,Kincumber Landfill Generation,NSW,14613.0,4059.0,Landfill Gas,2014-2015,-33.4689844,151.3898882,True
22,AGL ENERGY LIMITED,Liddell Power Station,NSW,24864251.0,6906736.0,Black Coal,2014-2015,-32.3715056,150.9773385,False
23,AGL ENERGY LIMITED,Loy Yang Power Station and Mine,VIC,58415084.0,16226412.0,Brown Coal,2014-2015,-38.2537069,146.5756631,False
24,AGL ENERGY LIMITED,Macarthur Wind Farm,VIC,3589748.0,997152.0,Wind,2014-2015,-38.0490795,142.1915163,True
25,AGL ENERGY LIMITED,McKay Creek Hydro,VIC,317552.0,88209.0,Hydro,2014-2015,45.5250549,-123.0049896,True
26,AGL ENERGY LIMITED,Moranbah Power Station,QLD,82912.0,23031.0,Coal Seam Methane,2014-2015,-22.0060858,148.0398332,False
27,AGL ENERGY LIMITED,Nyngan Solar Plant,NSW,33769.0,9380.0,Solar,2014-2015,-31.5662057,147.0707349,True
28,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,VIC,526539.0,146261.0,Wind,2014-2015,-37.683252,142.551115,True
29,AGL ENERGY LIMITED,Rockingham Landfill Generation,WA,77364.0,21490.0,Landfill Gas,2014-2015,-32.2780969,115.7351399,True
30,AGL ENERGY LIMITED,Rubicon Hydro Scheme,VIC,167206.0,46446.0,Hydro,2014-2015,-37.3259849,145.8614196,True
