,Year,Coal,Oil,Gas,Renewables,Non-Renewables
0,1974,981.1,1327.7,189.2,204.0,2498.0
1,1975,981.2,1339.7,211.2,206.2,2532.1
2,1976,1047.7,1410.6,256.2,199.3,2714.5
3,1977,1070.4,1438.3,283.0,201.2,2791.7
4,1978,1103.0,1440.9,314.9,199.6,2858.8
5,1979,1168.9,1411.6,362.6,193.6,2943.1
6,1980,1169.4,1358.6,416.0,206.0,2944.0
7,1981,1229.2,1339.0,462.0,210.7,3030.2
8,1982,1194.9,1262.7,466.2,203.5,2923.8
9,1983,1228.3,1306.7,490.0,200.9,3025.0
10,1984,1334.2,1306.6,523.3,212.9,3164.1000000000004
11,1985,1316.4,1304.9,570.7,214.9,3192.0
12,1986,1401.5,1315.8,588.4,214.5,3305.7000000000003
13,1987,1430.7,1369.3,610.5,218.4,3410.5
14,1988,1548.4,1433.2,627.8,228.7,3609.4000000000005
15,1989,1576.1,1452.7,688.1,233.0,3716.9
16,1990,1623.2,1440.9,655.4,236.3,3719.5000000000005
17,1991,1640.3,1444.5,678.6,221.9,3763.4
18,1992,1642.6,1491.7,707.0,243.8,3841.3
19,1993,1661.4,1532.5,736.8,252.3,3930.7
20,1994,1710.1,1606.3,793.1,258.8,4109.5
21,1995,1775.9,1663.9,797.0,267.2,4236.8
22,1996,1852.6,1660.6,818.4,280.1,4331.599999999999
23,1997,1959.5,1680.1,859.3,278.2,4498.9
24,1998,2022.7,1698.2,887.4,278.3,4608.3
25,1999,2052.5,1722.9,921.5,274.1,4696.9
26,2000,2081.5,1701.5,959.9,268.9,4742.9
27,2001,2127.8,1750.0,974.7,244.5,4852.5
28,2002,2118.7,1801.9,942.1,276.5,4862.7
29,2003,2221.7,1810.5,974.0,279.1,5006.2
30,2004,2254.5,1869.0,996.4,280.2,5119.9
31,2005,2292.7,1969.7,1000.9,284.5,5263.299999999999
32,2006,2316.6,1988.3,1131.9,288.3,5436.799999999999
33,2007,2300.2,1981.8,1168.7,286.4,5450.7
34,2008,2351.0,2000.3,1252.9,239.9,5604.200000000001
35,2009,2224.8,2057.8,1257.8,282.6,5540.400000000001
36,2010,2123.9,2211.6,1274.2,294.6,5609.7
37,2011,2074.7,2183.8,1338.5,293.8,5597.0
38,2012,1930.9,2276.2,1376.5,333.5,5583.6
39,2013,1845.8,2293.9,1407.2,344.2,5546.9
40,2014,1907.2,2233.8,1420.0,347.7,5561.0
41,2015,1954.9,2276.7,1464.4,360.2,5696.0
42,2016,1930.0,2315.1,1496.7,379.1,5741.8
43,2017,1847.3,2400.3,1557.3,382.5,5804.900000000001
44,2018,1801.6,2407.3,1586.5,400.2,5795.4
45,2019,1706.6,2241.2,1647.2,418.8,5595.0
