State,Renewable,Electricity_Production_GJ,Electricity_Production_MWh,Year
NSW,False,204681392.0,56855942.0,2015
NT,False,8260711.0,2294642.0,2015
QLD,False,232887736.0,64691037.0,2015
SA,False,21009163.0,5835880.0,2015
TAS,False,122165.0,33935.0,2015
VIC,False,179722944.0,49923039.0,2015
WA,False,82684869.0,22968019.0,2015
NSW,False,215375279.0,59826468.0,2017
NT,False,8171061.0,2269737.0,2017
QLD,False,243721905.0,67700531.0,2017
SA,False,26466928.0,7351924.0,2017
TAS,False,3047498.0,846527.0,2017
VIC,False,140919147.0,39144209.0,2017
WA,False,82717752.0,22977155.0,2017
NSW,False,189359978.0,52599995.0,2021
NT,False,7710077.0,2141689.0,2021
QLD,False,213006238.0,59168403.0,2021
SA,False,19148055.0,5318902.0,2021
TAS,False,311981.0,86661.0,2021
VIC,False,127437836.0,35399396.0,2021
WA,False,73671218.0,20464224.0,2021
