State,Renewable,Electricity_Production_GJ,Electricity_Production_MWh,Year
ACT,4.0,353180.0,98106.0,2015
NSW,38.0,18196617.0,5054615.0,2015
NT,2.0,38567.0,10713.0,2015
QLD,14.0,3055380.0,848719.0,2015
SA,20.0,15651414.0,4347615.0,2015
TAS,35.0,33763678.0,9378801.0,2015
VIC,41.0,16489669.0,4580465.0,2015
WA,15.0,6232388.0,1731221.0,2015
ACT,3.0,262812.0,73003.0,2017
NSW,45.0,31078764.0,8632989.0,2017
NT,2.0,35019.0,9728.0,2017
QLD,15.0,3428994.0,952498.0,2017
SA,25.0,20505609.0,5696003.0,2017
TAS,38.0,38196127.0,10610034.0,2017
VIC,47.0,19521987.0,5422772.0,2017
WA,20.0,7226731.0,2007427.0,2017
ACT,5.0,324911.0,90253.0,2021
NSW,64.0,48463613.0,13462111.0,2021
NT,3.0,45037.0,12510.0,2021
QLD,46.0,17087240.0,4746457.0,2021
SA,32.0,23785630.0,6607120.0,2021
TAS,39.0,36568551.0,10157932.0,2021
VIC,65.0,34460981.0,9572497.0,2021
WA,23.0,13232481.0,3675688.0,2021
